,HEI,Course Code,INSTITUTION and COURSE,EOS,Mid
0,Athlone Institute of Technology,AL801,Software Design with Virtual Reality and Gaming,304.0,328.0
1,Athlone Institute of Technology,AL802,Software Design with Cloud Computing,301.0,306.0
2,Athlone Institute of Technology,AL803,Software Design with Mobile Apps and Connected Devices,309.0,337.0
3,Athlone Institute of Technology,AL805,Network Management and Cloud Infrastructure,329.0,442.0
4,Athlone Institute of Technology,AL810,Quantity Surveying,307.0,349.0
5,Athlone Institute of Technology,AL820,Mechanical and Polymer Engineering,300.0,358.0
6,Athlone Institute of Technology,AL830,General Nursing,410.0,429.0
7,Athlone Institute of Technology,AL832,Psychiatric Nursing,387.0,403.0
8,Athlone Institute of Technology,AL836,Nutrition and Health Science,352.0,383.0
9,Athlone Institute of Technology,AL837,Sports Science with Exercise Physiology,351.0,392.0
10,Athlone Institute of Technology,AL838,Biotechnology,302.0,372.0
11,Athlone Institute of Technology,AL839,Microbiology,322.0,371.0
12,Athlone Institute of Technology,AL840,Pharmaceutical Sciences,328.0,411.0
13,Athlone Institute of Technology,AL841,Athletic and Rehabilitation Therapy,423.0,430.0
14,Athlone Institute of Technology,AL842,Bioveterinary Science,310.0,366.0
15,Athlone Institute of Technology,AL843,Physical Activity and Health Science,310.0,330.0
16,Athlone Institute of Technology,AL850,Business,307.0,356.0
17,Athlone Institute of Technology,AL851,Business and Law,301.0,341.0
18,Athlone Institute of Technology,AL852,Accounting (with optional placement),290.0,346.0
19,Athlone Institute of Technology,AL853,Accounting and Law,305.0,320.0
20,Athlone Institute of Technology,AL855,Hospitality Management (with International placement),312.0,357.0
21,Athlone Institute of Technology,AL857,Digital Marketing,300.0,360.0
22,Athlone Institute of Technology,AL860,Social Care Practice,309.0,338.0
23,Athlone Institute of Technology,AL861,Animation and Illustration (portfolio),615.0,899.0
24,Athlone Institute of Technology,AL863,Graphic and Digital Design (portfolio),703.0,898.0
25,Athlone Institute of Technology,AL864,Early Years Care and Education,307.0,348.0
26,Athlone Institute of Technology,AL870,Applied Psychology,409.0,445.0
27,Institute of Technology Carlow,CW018,Business (options Wexford),327.0,349.0
28,Institute of Technology Carlow,CW028,Early Childhood Education and Care (Wexford),252.0,308.0
29,Institute of Technology Carlow,CW038,Art (portfolio Wexford),700.0,700.0
30,Institute of Technology Carlow,CW058,Tourism and Event Management (Wexford),252.0,262.0
31,Institute of Technology Carlow,CW068,Applied Social Studies - Professional Social Care (Wexford),251.0,280.0
32,Institute of Technology Carlow,CW078,Sustainable Farm Management and Agribusiness (Wexford),266.0,320.0
33,Institute of Technology Carlow,CW088,Visual Communications and Design (Wexford),309.0,345.0
34,Institute of Technology Carlow,CW108,Science (options),261.0,326.0
35,Institute of Technology Carlow,CW128,Brewing and Distilling,271.0,298.0
36,Institute of Technology Carlow,CW178,Sport Science (options),399.0,424.0
37,Institute of Technology Carlow,CW188,Sport Rehabilitation and Athletic Therapy,454.0,473.0
38,Institute of Technology Carlow,CW208,Computer Games Development,281.0,338.0
39,Institute of Technology Carlow,CW238,Software Development,300.0,343.0
40,Institute of Technology Carlow,CW248,Information Technology Management,307.0,357.0
41,Institute of Technology Carlow,CW258,Cybercrime and IT Security,300.0,328.0
42,Institute of Technology Carlow,CW268,Computing in Interactive Digital Art and Design,274.0,321.0
43,Institute of Technology Carlow,CW438,Construction (options),271.0,308.0
44,Institute of Technology Carlow,CW468,Architectural Technology,252.0,290.0
45,Institute of Technology Carlow,CW478,Civil Engineering,348.0,383.0
46,Institute of Technology Carlow,CW548,Mechanical Engineering,310.0,351.0
47,Institute of Technology Carlow,CW558,Electronic Systems,279.0,338.0
48,Institute of Technology Carlow,CW568,Aerospace Engineering,366.0,422.0
49,Institute of Technology Carlow,CW578,TV and Media Production,327.0,361.0
50,Institute of Technology Carlow,CW708,Law - LLB,298.0,328.0
51,Institute of Technology Carlow,CW728,Product Design Innovation,286.0,355.0
52,Institute of Technology Carlow,CW748,Early Childhood Education and Care,265.0,338.0
53,Institute of Technology Carlow,CW758,Applied Social Studies - Professional Social Care,290.0,319.0
54,Institute of Technology Carlow,CW808,Media and Public Relations,248.0,307.0
55,Institute of Technology Carlow,CW848,Digital Marketing with Analytics,279.0,307.0
56,Institute of Technology Carlow,CW858,Sports Management and Coaching (options portfolio),700.0,700.0
57,Institute of Technology Carlow,CW908,Business (options),260.0,307.0
58,Institute of Technology Carlow,CW938,Business with Law,270.0,288.0
59,Institute of Technology Carlow,CW948,Accounting,301.0,408.0
60,Carlow College St. Patrick`s,PC405,Social Political and Community Studies,251.0,296.0
61,Carlow College St. Patrick`s,PC410,Arts and Humanities (fulfils Teaching Council requirements),203.0,289.0
62,Carlow College St. Patrick`s,PC411,English and History (fulfils Teaching Council requirements),168.0,289.0
63,Cork Institute of Technology,CR105,Chemical and Biopharmaceutical Engineering,432.0,498.0
64,Cork Institute of Technology,CR106,Software Development,351.0,393.0
65,Cork Institute of Technology,CR108,Mechanical Engineering,425.0,487.0
66,Cork Institute of Technology,CR109,Structural Engineering,341.0,467.0
67,Cork Institute of Technology,CR110,Automotive Business Management and Technology,318.0,347.0
68,Cork Institute of Technology,CR112,Creative Digital Media,335.0,389.0
69,Cork Institute of Technology,CR116,Computer Systems,318.0,381.0
70,Cork Institute of Technology,CR121,Music at CIT Cork School of Music,633.0,1052.0
71,Cork Institute of Technology,CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,972.0,1021.0
72,Cork Institute of Technology,CR126,Popular Music: Drums at CIT Cork School of Music,878.0,1043.0
73,Cork Institute of Technology,CR127,Popular Music: Electric Guitar at CIT Cork School of Music,584.0,761.0
74,Cork Institute of Technology,CR128,Popular Music: Keyboards at CIT Cork School of Music,839.0,1009.0
75,Cork Institute of Technology,CR129,Popular Music: Voice at CIT Cork School of Music,857.0,927.0
76,Cork Institute of Technology,CR130,Musical Theatre,500.0,600.0
77,Cork Institute of Technology,CR150,Business Information Systems,326.0,371.0
78,Cork Institute of Technology,CR210,Contemporary Applied Art (Ceramics Glass Textiles) at CIT Crawford,979.0,979.0
79,Cork Institute of Technology,CR220,Fine Art at CIT Crawford College of Art and Design,620.0,819.0
80,Cork Institute of Technology,CR225,Photography with New Media,920.0,920.0
81,Cork Institute of Technology,CR305,Physical Sciences (Common Entry),279.0,309.0
82,Cork Institute of Technology,CR310,IT Management,282.0,317.0
83,Cork Institute of Technology,CR320,Biomedical Science (Offered jointly by CIT and UCC),546.0,556.0
84,Cork Institute of Technology,CR325,Pharmaceutical Biotechnology,388.0,422.0
85,Cork Institute of Technology,CR333,Nutrition and Health Science,360.0,393.0
86,Cork Institute of Technology,CR335,Biological Sciences (Common Entry),381.0,419.0
87,Cork Institute of Technology,CR340,Analytical Chemistry with Quality Assurance,288.0,315.0
88,Cork Institute of Technology,CR360,Instrument Engineering,291.0,329.0
89,Cork Institute of Technology,CR365,Environmental Science and Sustainable Technology,334.0,362.0
90,Cork Institute of Technology,CR370,Agri-Biosciences,408.0,431.0
91,Cork Institute of Technology,CR400,Accounting,316.0,389.0
92,Cork Institute of Technology,CR420,Marketing,288.0,329.0
93,Cork Institute of Technology,CR425,International Business with Language,300.0,392.0
94,Cork Institute of Technology,CR500,Engineering (Common Entry),381.0,424.0
95,Cork Institute of Technology,CR510,Sustainable Energy Engineering,319.0,343.0
96,Cork Institute of Technology,CR520,Biomedical Engineering,434.0,477.0
97,Cork Institute of Technology,CR560,Architectural Technology,288.0,332.0
98,Cork Institute of Technology,CR565,Interior Architecture,336.0,390.0
99,Cork Institute of Technology,CR570,Quantity Surveying,279.0,342.0
100,Cork Institute of Technology,CR572,Construction Management,253.0,300.0
101,Cork Institute of Technology,CR580,Electrical Engineering,344.0,374.0
102,Cork Institute of Technology,CR590,Electronic Engineering,342.0,411.0
103,Cork Institute of Technology,CR600,Visual Communications,587.0,888.0
104,Cork Institute of Technology,CR660,Tourism Management,249.0,290.0
105,Cork Institute of Technology,CR700,Theatre and Drama Studies at CIT Cork School of Music,768.0,906.0
106,University College Cork (NUI),CK101,Arts - 3 years,300.0,368.0
107,University College Cork (NUI),CK102,Social Science,391.0,431.0
108,University College Cork (NUI),CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),340.0,409.0
109,University College Cork (NUI),CK105,Film and Screen Media - 3 years or 4 years (International Pathway),397.0,442.0
110,University College Cork (NUI),CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),326.0,388.0
111,University College Cork (NUI),CK108,Arts International - 4 years,429.0,466.0
112,University College Cork (NUI),CK109,English - 3 years or 4 years (International Pathway),347.0,423.0
113,University College Cork (NUI),CK110,World Languages,456.0,506.0
114,University College Cork (NUI),CK111,Early Years and Childhood Studies,398.0,429.0
115,University College Cork (NUI),CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),324.0,470.0
116,University College Cork (NUI),CK113,Criminology - 3 years or 4 years (International Pathway),408.0,430.0
117,University College Cork (NUI),CK114,Social Science (Youth and Community Work) - 3 years,,
118,University College Cork (NUI),CK115,Social Work - Mature Applicants only,,
119,University College Cork (NUI),CK116,Sports Studies and Physical Education,499.0,520.0
120,University College Cork (NUI),CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),307.0,361.0
121,University College Cork (NUI),CK120,Applied Psychology,506.0,532.0
122,University College Cork (NUI),CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),393.0,466.0
123,University College Cork (NUI),CK122,Government and Political Science,355.0,410.0
124,University College Cork (NUI),CK201,Commerce,465.0,489.0
125,University College Cork (NUI),CK202,Accounting,467.0,506.0
126,University College Cork (NUI),CK203,Business Information Systems,409.0,444.0
127,University College Cork (NUI),CK204,Finance,531.0,555.0
128,University College Cork (NUI),CK205,Commerce (International) with French,409.0,473.0
129,University College Cork (NUI),CK206,Commerce (International) with German,408.0,446.0
130,University College Cork (NUI),CK207,Commerce (International) with Italian,408.0,425.0
131,University College Cork (NUI),CK208,Commerce (International) with Hispanic Studies,431.0,455.0
132,University College Cork (NUI),CK209,Commerce (International) with Irish,509.0,528.0
133,University College Cork (NUI),CK211,Commerce (International) with Chinese Studies,398.0,420.0
134,University College Cork (NUI),CK212,Economics (Transformational Learning) - 3 or 4 years (Int`l Pathway),400.0,429.0
135,University College Cork (NUI),CK301,Law (Pathways) -  3 or 4 years,476.0,519.0
136,University College Cork (NUI),CK302,Law and French,453.0,531.0
137,University College Cork (NUI),CK304,Law and Irish,462.0,510.0
138,University College Cork (NUI),CK307,Law and Business,522.0,554.0
139,University College Cork (NUI),CK401,Computer Science,402.0,456.0
140,University College Cork (NUI),CK402,Biological and Chemical Sciences,498.0,520.0
141,University College Cork (NUI),CK404,Biological Earth and Environmental Sciences,412.0,451.0
142,University College Cork (NUI),CK405,Genetics,476.0,496.0
143,University College Cork (NUI),CK406,Chemical Sciences,457.0,488.0
144,University College Cork (NUI),CK407,Mathematical Sciences,531.0,578.0
145,University College Cork (NUI),CK408,Physics and Astrophysics,511.0,566.0
146,University College Cork (NUI),CK409,Industrial Physics (offered jointly by UCC and CIT),413.0,532.0
147,University College Cork (NUI),CK411,Data Science and Analytics,509.0,542.0
148,University College Cork (NUI),CK412,Agricultural Science,457.0,509.0
149,University College Cork (NUI),CK502,Food Marketing and Entrepreneurship,433.0,456.0
150,University College Cork (NUI),CK504,Nutritional Sciences,492.0,509.0
151,University College Cork (NUI),CK505,Food Science,444.0,477.0
152,University College Cork (NUI),CK506,International Development and Food Policy,367.0,410.0
153,University College Cork (NUI),CK600,Engineering,465.0,532.0
154,University College Cork (NUI),CK606,Architecture (offered jointly by UCC and CIT),465.0,496.0
155,University College Cork (NUI),CK701,Medicine (Undergraduate Entry - HPAT required),729.0,740.0
156,University College Cork (NUI),CK702,Dentistry,590.0,613.0
157,University College Cork (NUI),CK703,Pharmacy,577.0,589.0
158,University College Cork (NUI),CK704,Occupational Therapy,532.0,554.0
159,University College Cork (NUI),CK705,Speech and Language Therapy,509.0,529.0
160,University College Cork (NUI),CK706,Public Health Sciences,419.0,451.0
161,University College Cork (NUI),CK707,Medical and Health Sciences,510.0,543.0
162,University College Cork (NUI),CK710,General Nursing,440.0,466.0
163,University College Cork (NUI),CK712,Children`s and General Nursing (Integrated),499.0,520.0
164,University College Cork (NUI),CK720,Mental Health Nursing,398.0,429.0
165,University College Cork (NUI),CK730,Intellectual Disability Nursing,359.0,388.0
166,University College Cork (NUI),CK740,Midwifery,444.0,474.0
167,University College Cork (NUI),CK791,Medicine  - Graduate Entry (GAMSAT required),58.0,59.0
168,American College,AC120,International Business,234.0,269.0
169,American College,AC137,Liberal Arts,252.0,275.0
170,CCT College Dublin,CT125,Information Technology,235.0,280.0
171,Marino Institute of Education,CM001,Education - Primary Teaching,452.0,462.0
172,Marino Institute of Education,CM002,Education - Primary Teaching - Gaeltacht Applicants,421.0,440.0
173,Marino Institute of Education,CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,491.0,506.0
174,Marino Institute of Education,CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge (daltaí Gaeltachta),492.0,569.0
175,Marino Institute of Education,CM010,Education Studies,317.0,373.0
176,Marino Institute of Education,CM020,Early Childhood Education,336.0,363.0
177,Dublin Business School,DB500,Computing,242.0,320.0
178,Dublin Business School,DB501,Computing (Cloud Computing),326.0,329.0
179,Dublin Business School,DB502,Computing (Data Analytics and Big Data),269.0,269.0
180,Dublin Business School,DB503,Computing (Software Development),242.0,282.0
181,Dublin Business School,DB504,Computing (Web and Mobile Technology),227.0,269.0
182,Dublin Business School,DB510,Audio Production and Music Project Management,233.0,293.0
183,Dublin Business School,DB512,Business Studies,229.0,301.0
184,Dublin Business School,DB514,Business Studies (Law),269.0,337.0
185,Dublin Business School,DB515,Business Studies (Human Resource Management),225.0,288.0
186,Dublin Business School,DB516,Financial Services,328.0,336.0
187,Dublin Business School,DB517,Event Management,226.0,327.0
188,Dublin Business School,DB518,Marketing (Digital Media),210.0,289.0
189,Dublin Business School,DB521,Accounting and Finance,225.0,271.0
190,Dublin Business School,DB524,Business Information Systems,402.0,402.0
191,Dublin Business School,DB525,Marketing (Digital Media and Cloud Computing),284.0,309.0
192,Dublin Business School,DB526,Business Information Systems (Cloud Computing),253.0,288.0
193,Dublin Business School,DB527,Applied Social Care,235.0,288.0
194,Dublin Business School,DB531,Marketing,220.0,288.0
195,Dublin Business School,DB562,Psychology,208.0,310.0
196,Dublin Business School,DB566,Social Science,216.0,308.0
197,Dublin Business School,DB567,Film,192.0,295.0
198,Dublin Business School,DB568,Law,245.0,308.0
199,Dublin Business School,DB569,Business (Psychology),279.0,338.0
200,Dublin City University,DC001,Education - Early Childhood Education,398.0,424.0
201,Dublin City University,DC002,Education - Primary Teaching,462.0,485.0
202,Dublin City University,DC003,Education - Primary Teaching - Gaeltacht Applicants,433.0,473.0
203,Dublin City University,DC004,Education - Primary Teaching (Church of Ireland Centre formerly CICE),357.0,
204,Dublin City University,DC005,Education - Primary Teaching - Irish Sign Language,316.0,316.0
205,Dublin City University,DC009,Arts (Joint Honours) - Humanities,347.0,408.0
206,Dublin City University,DC010,Post Primary Teacher Education - Religious Education and English,386.0,413.0
207,Dublin City University,DC011,Post Primary Teacher Education - Religious Education and History,352.0,389.0
208,Dublin City University,DC012,Post Primary Teacher Education - Religious Education and Music,367.0,415.0
209,Dublin City University,DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,410.0,509.0
210,Dublin City University,DC014,BA in Jazz and Contemporary Music Performance,428.0,590.0
211,Dublin City University,DC110,Business Studies International,440.0,462.0
212,Dublin City University,DC111,Business Studies,463.0,479.0
213,Dublin City University,DC112,Global Business (France),495.0,510.0
214,Dublin City University,DC113,Global Business (Germany),440.0,476.0
215,Dublin City University,DC114,Global Business (Spain),501.0,543.0
216,Dublin City University,DC115,Accounting and Finance,487.0,500.0
217,Dublin City University,DC116,Global Business (USA),578.0,589.0
218,Dublin City University,DC117,Aviation Management / Aviation Management with Pilot Studies,463.0,487.0
219,Dublin City University,DC118,Gnó agus Gaeilge / Business and Irish,357.0,399.0
220,Dublin City University,DC119,Global Business (Canada),566.0,577.0
221,Dublin City University,DC120,Enterprise Computing,350.0,389.0
222,Dublin City University,DC121,Computer Applications,370.0,418.0
223,Dublin City University,DC123,Data Science,467.0,511.0
224,Dublin City University,DC126,Actuarial Mathematics,520.0,543.0
225,Dublin City University,DC127,Common Entry into Actuarial and Financial Mathematics,509.0,531.0
226,Dublin City University,DC131,Communication Studies,400.0,441.0
227,Dublin City University,DC132,Journalism,401.0,440.0
228,Dublin City University,DC133,Multimedia,403.0,451.0
229,Dublin City University,DC155,Applied Language and Translation Studies,371.0,430.0
230,Dublin City University,DC161,Analytical Science,446.0,463.0
231,Dublin City University,DC162,Chemical and Pharmaceutical Sciences,488.0,498.0
232,Dublin City University,DC166,Environmental Science and Technology,412.0,442.0
233,Dublin City University,DC167,Physics with Astronomy,434.0,477.0
234,Dublin City University,DC168,Genetics and Cell Biology,489.0,500.0
235,Dublin City University,DC171,Applied Physics,402.0,433.0
236,Dublin City University,DC173,Physics with Biomedical Sciences,402.0,458.0
237,Dublin City University,DC181,Biotechnology,476.0,488.0
238,Dublin City University,DC190,Electronic and Computer Engineering (with choice of four majors),391.0,433.0
239,Dublin City University,DC193,Mechatronic Engineering,404.0,445.0
240,Dublin City University,DC195,Mechanical and Manufacturing Engineering,401.0,444.0
241,Dublin City University,DC197,Biomedical Engineering,402.0,446.0
242,Dublin City University,DC200,Common Entry into Engineering (Undenominated Entry),381.0,444.0
243,Dublin City University,DC201,Common Entry into Science (Undenominated Entry),454.0,477.0
244,Dublin City University,DC202,Sport Science and Health,467.0,476.0
245,Dublin City University,DC203,Science Education,424.0,476.0
246,Dublin City University,DC204,Athletic Therapy and Training,484.0,500.0
247,Dublin City University,DC205,Physical Education with Biology,490.0,521.0
248,Dublin City University,DC206,Physical Education with Mathematics,443.0,476.0
249,Dublin City University,DC208,Psychology,509.0,521.0
250,Dublin City University,DC209,Health and Society,419.0,440.0
251,Dublin City University,DC215,General Nursing,414.0,443.0
252,Dublin City University,DC216,Mental Health Nursing,368.0,389.0
253,Dublin City University,DC217,Intellectual Disability Nursing,347.0,362.0
254,Dublin City University,DC218,Children's and General Nursing (Integrated),467.0,480.0
255,Dublin City University,DC230,Economics Politics and Law,400.0,431.0
256,Dublin City University,DC231,International Relations,387.0,445.0
257,Dublin City University,DC232,Law and Society (BCL),453.0,487.0
258,Dublin City University,DC235,Education and Training - Daytime Delivery Mode (full-time),307.0,327.0
259,Dublin City University,DC238,Social Sciences and Cultural Innovation,358.0,388.0
260,Dublin City University,DC240,Marketing Innovation and Technology,451.0,474.0
261,Dublin City University,DC291,Arts (Joint Honours) - Media Studies,349.0,392.0
262,Dublin City University,DC292,Arts (Joint Honours) - Law,356.0,388.0
263,Dublin City University,DC293,Arts (Joint Honours) - International Languages,369.0,400.0
264,Dublin City University,DC295,Arts (Joint Honours) - Politics,348.0,387.0
265,Technological University Dublin City Campus,DT001,Product Design,433.0,464.0
266,Technological University Dublin City Campus,DT028,Transport Operations and Technology,279.0,348.0
267,Technological University Dublin City Campus,DT035,Electrical Services and Energy Management,293.0,340.0
268,Technological University Dublin City Campus,DT066,Engineering (General Entry),400.0,457.0
269,Technological University Dublin City Campus,DT101,Architecture (test and interview),618.0,647.0
270,Technological University Dublin City Campus,DT106,Planning and Environmental Management,312.0,337.0
271,Technological University Dublin City Campus,DT110,Property Economics (Valuation Surveying),367.0,424.0
272,Technological University Dublin City Campus,DT111,Quantity Surveying and Construction Economics,391.0,421.0
273,Technological University Dublin City Campus,DT112,Geographic Science,287.0,335.0
274,Technological University Dublin City Campus,DT117,Construction Management,356.0,373.0
275,Technological University Dublin City Campus,DT175,Architectural Technology,388.0,425.0
276,Technological University Dublin City Campus,DT201,Science (General Entry),464.0,477.0
277,Technological University Dublin City Campus,DT203,Analytical Chemistry (Environmental Forensic and Pharmaceutical),341.0,403.0
278,Technological University Dublin City Campus,DT204,Biomedical Science,501.0,512.0
279,Technological University Dublin City Campus,DT205,Mathematical Sciences,315.0,363.0
280,Technological University Dublin City Campus,DT206,Biomedical and Molecular Diagnostics,473.0,487.0
281,Technological University Dublin City Campus,DT211,Computer Science (Infrastructure),381.0,414.0
282,Technological University Dublin City Campus,DT220,Industrial Mathematics,300.0,317.0
283,Technological University Dublin City Campus,DT221,Physics with Energy and Environment,348.0,436.0
284,Technological University Dublin City Campus,DT222,Physics Technology,321.0,371.0
285,Technological University Dublin City Campus,DT223,Human Nutrition and Dietetics,553.0,566.0
286,Technological University Dublin City Campus,DT224,Optometry,487.0,529.0
287,Technological University Dublin City Campus,DT225,Public Health Nutrition,440.0,476.0
288,Technological University Dublin City Campus,DT227,Science with Nanotechnology,312.0,361.0
289,Technological University Dublin City Campus,DT228,Computer Science,451.0,466.0
290,Technological University Dublin City Campus,DT229,Clinical Measurement Science,491.0,509.0
291,Technological University Dublin City Campus,DT235,Physics with Medical Physics and Bioengineering,357.0,403.0
292,Technological University Dublin City Campus,DT282,Computer Science (International),377.0,402.0
293,Technological University Dublin City Campus,DT299,Chemical Sciences with Medicinal Chemistry,420.0,445.0
294,Technological University Dublin City Campus,DT302,Business Analytics,325.0,403.0
295,Technological University Dublin City Campus,DT304,E-Commerce in Retailing,341.0,388.0
296,Technological University Dublin City Campus,DT321,Business and Law,462.0,478.0
297,Technological University Dublin City Campus,DT341,Marketing,400.0,419.0
298,Technological University Dublin City Campus,DT343,Retail and Services Management,301.0,332.0
299,Technological University Dublin City Campus,DT354,Business Computing,322.0,341.0
300,Technological University Dublin City Campus,DT358,Logistics and Supply Chain Management,300.0,359.0
301,Technological University Dublin City Campus,DT365,Business and Management,440.0,456.0
302,Technological University Dublin City Campus,DT366,Accounting and Finance,432.0,454.0
303,Technological University Dublin City Campus,DT398,Human Resource Management,375.0,388.0
304,Technological University Dublin City Campus,DT399,Economics and Finance,437.0,465.0
305,Technological University Dublin City Campus,DT401,International Hospitality Management,300.0,337.0
306,Technological University Dublin City Campus,DT405,Culinary Science,308.0,377.0
307,Technological University Dublin City Campus,DT407,Culinary Arts,271.0,342.0
308,Technological University Dublin City Campus,DT412,Tourism Marketing,284.0,322.0
309,Technological University Dublin City Campus,DT413,Event Management,356.0,389.0
